                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2181,                 1.6773,                 1.0843,                0.39603,                 0.2264,                0.18349,                0.05125,                 3.1203,                 2.9314,                  1.568,                    0.1,               0.033227,               0.033227
                      2,                 2.4988,                 1.5582,                 1.1683,                0.47029,                0.52417,                0.39616,                0.12674,                 2.3694,                 1.7741,                 1.1471,               0.097804,               0.064364,               0.064364
                      3,                 2.2875,                 1.3456,                 1.1007,                0.14603,                0.38833,                0.11671,                0.04312,                 2.3714,                 6.8751,                  1.154,               0.093407,               0.093301,               0.093301
                      4,                 2.0979,                 1.1685,                 1.0404,                0.68385,                0.42364,                0.46806,                 0.2155,                 2.0218,                 2.4344,                 1.0256,                 0.0901,                 0.0901,                 0.0901
                      5,                 1.8711,                 0.9772,                0.98891,                0.82717,                0.46281,                0.56028,                0.31338,                 1.7489,                 2.0411,                0.97613,                 0.0868,                 0.0868,                 0.0868
                      6,                 1.7325,                0.90135,                0.95207,                0.93271,                0.72333,                0.80418,                0.43113,                 1.7276,                0.91564,                0.94403,                 0.0835,                 0.0835,                 0.0835
                      7,                 1.6537,                 0.8581,                0.94126,                0.94386,                0.78281,                0.85548,                0.50753,                 1.4746,                0.81618,                0.90706,                 0.0802,                 0.0802,                 0.0802
                      8,                 1.5894,                0.80627,                0.91947,                0.80024,                0.77283,                0.82627,                0.53207,                 1.3985,                0.76975,                 0.8943,                 0.0769,                 0.0769,                 0.0769
                      9,                 1.5184,                0.76633,                0.91318,                0.95518,                 0.8015,                0.87838,                0.52729,                 1.3982,                0.69273,                0.88566,                 0.0736,                 0.0736,                 0.0736
                     10,                   1.49,                0.74352,                0.90132,                0.90611,                0.79509,                0.87068,                0.54091,                  1.243,                0.71168,                0.86629,                 0.0703,                 0.0703,                 0.0703
                     11,                 1.4269,                0.70778,                 0.8884,                 0.9512,                0.85272,                0.91146,                0.61094,                 1.2241,                0.63149,                0.85883,                  0.067,                  0.067,                  0.067
                     12,                  1.393,                0.69998,                0.88725,                 0.9279,                0.84944,                0.91033,                0.62477,                 1.1251,                0.61493,                0.85344,                 0.0637,                 0.0637,                 0.0637
                     13,                 1.3446,                0.66325,                0.87859,                0.95527,                0.85219,                0.91707,                0.60382,                 1.1914,                0.62235,                 0.8569,                 0.0604,                 0.0604,                 0.0604
                     14,                 1.3121,                0.65849,                0.87889,                 0.9574,                0.85188,                0.91935,                0.63238,                 1.0931,                0.58441,                0.84142,                 0.0571,                 0.0571,                 0.0571
                     15,                 1.2491,                0.61618,                0.86799,                0.96675,                0.84781,                0.92463,                0.67129,                 1.0121,                0.53293,                0.83418,                 0.0538,                 0.0538,                 0.0538
                     16,                 1.2127,                0.61071,                0.85821,                0.94844,                 0.8329,                0.91803,                0.65433,                 1.0218,                0.55674,                0.83911,                 0.0505,                 0.0505,                 0.0505
                     17,                 1.1861,                0.58695,                 0.8567,                0.95901,                0.86187,                0.93182,                  0.667,                 1.0251,                0.52092,                0.83572,                 0.0472,                 0.0472,                 0.0472
                     18,                   1.17,                 0.5817,                0.85521,                0.95848,                0.87721,                0.94301,                0.66484,                0.99208,                0.50891,                0.83186,                 0.0439,                 0.0439,                 0.0439
                     19,                 1.1203,                 0.5612,                 0.8495,                0.95665,                0.88071,                0.94448,                0.68381,                0.94861,                0.50337,                0.82669,                 0.0406,                 0.0406,                 0.0406
                     20,                 1.0752,                0.53902,                0.84758,                0.96343,                0.88949,                0.94606,                0.70451,                0.89771,                0.45906,                0.82071,                 0.0373,                 0.0373,                 0.0373
                     21,                 1.0046,                0.50788,                0.84543,                0.97462,                 0.8726,                 0.9414,                0.68312,                 0.9385,                0.48878,                0.82397,                  0.034,                  0.034,                  0.034
                     22,                0.99114,                 0.5087,                0.84109,                0.97812,                0.85777,                0.94232,                 0.6967,                0.94082,                0.47845,                0.82595,                 0.0307,                 0.0307,                 0.0307
                     23,                0.96511,                0.48604,                 0.8385,                0.96461,                0.87797,                0.94905,                0.70896,                0.90621,                0.46916,                0.82364,                 0.0274,                 0.0274,                 0.0274
                     24,                0.91875,                   0.47,                0.83417,                0.97331,                0.88872,                0.95723,                0.71058,                0.89004,                0.43625,                0.81994,                 0.0241,                 0.0241,                 0.0241
                     25,                0.88763,                 0.4525,                0.82704,                0.97792,                0.88642,                0.95622,                0.72812,                0.82697,                0.41709,                0.81694,                 0.0208,                 0.0208,                 0.0208
                     26,                 0.8628,                0.43646,                0.82649,                0.96345,                0.89015,                  0.955,                0.73413,                 0.8153,                0.42157,                0.81211,                 0.0175,                 0.0175,                 0.0175
                     27,                0.81578,                0.41847,                0.82432,                0.97502,                0.89881,                0.96202,                0.74608,                0.78592,                0.39268,                0.80901,                 0.0142,                 0.0142,                 0.0142
                     28,                0.79729,                0.40657,                0.81523,                0.96737,                0.91328,                 0.9647,                0.76006,                0.77163,                0.38509,                0.80616,                 0.0109,                 0.0109,                 0.0109
                     29,                0.76021,                0.38159,                0.81485,                0.97209,                0.90944,                0.96546,                0.76968,                0.73692,                0.35361,                0.80213,                 0.0076,                 0.0076,                 0.0076
                     30,                0.72556,                0.36042,                0.81208,                0.97159,                0.90637,                0.96344,                0.77993,                0.68946,                0.33967,                0.79736,                 0.0043,                 0.0043,                 0.0043
